model,fold,params,param_key,macro_f1,mean_absolute_age_error,severe_error_rate
logistic_regression,2,"{'C': 3.0, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('C', 3.0), ('class_weight', 'balanced'), ('fit_weight', 'none')]",0.7565831784851957,0.07555555555555556,0.017777777777777778
logistic_regression,3,"{'C': 3.0, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('C', 3.0), ('class_weight', 'balanced'), ('fit_weight', 'none')]",0.6326639007251252,0.16,0.044444444444444446
logistic_regression,4,"{'C': 3.0, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('C', 3.0), ('class_weight', 'balanced'), ('fit_weight', 'none')]",0.6347826086956522,0.15178571428571427,0.04017857142857143
logistic_regression,5,"{'C': 3.0, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('C', 3.0), ('class_weight', 'balanced'), ('fit_weight', 'none')]",0.7626701255733515,0.125,0.03571428571428571
logistic_regression,1,"{'C': 0.3, 'class_weight': None, 'fit_weight': 'balanced'}","[('C', 0.3), ('class_weight', None), ('fit_weight', 'balanced')]",0.6535830643345094,0.1288888888888889,0.04
logistic_regression,2,"{'C': 0.3, 'class_weight': None, 'fit_weight': 'balanced'}","[('C', 0.3), ('class_weight', None), ('fit_weight', 'balanced')]",0.716715976331361,0.1511111111111111,0.04888888888888889
logistic_regression,3,"{'C': 0.3, 'class_weight': None, 'fit_weight': 'balanced'}","[('C', 0.3), ('class_weight', None), ('fit_weight', 'balanced')]",0.6002616742899691,0.19111111111111112,0.05333333333333334
logistic_regression,4,"{'C': 0.3, 'class_weight': None, 'fit_weight': 'balanced'}","[('C', 0.3), ('class_weight', None), ('fit_weight', 'balanced')]",0.6244079236391229,0.17857142857142858,0.049107142857142856
logistic_regression,5,"{'C': 0.3, 'class_weight': None, 'fit_weight': 'balanced'}","[('C', 0.3), ('class_weight', None), ('fit_weight', 'balanced')]",0.7415567225301738,0.14732142857142858,0.04017857142857143
logistic_regression,1,"{'C': 1.0, 'class_weight': None, 'fit_weight': 'balanced'}","[('C', 1.0), ('class_weight', None), ('fit_weight', 'balanced')]",0.6593877386980835,0.1111111111111111,0.03111111111111111
logistic_regression,2,"{'C': 1.0, 'class_weight': None, 'fit_weight': 'balanced'}","[('C', 1.0), ('class_weight', None), ('fit_weight', 'balanced')]",0.710722043942479,0.15555555555555556,0.04888888888888889
logistic_regression,3,"{'C': 1.0, 'class_weight': None, 'fit_weight': 'balanced'}","[('C', 1.0), ('class_weight', None), ('fit_weight', 'balanced')]",0.6008792350972832,0.18666666666666668,0.05333333333333334
logistic_regression,4,"{'C': 1.0, 'class_weight': None, 'fit_weight': 'balanced'}","[('C', 1.0), ('class_weight', None), ('fit_weight', 'balanced')]",0.6310745903057896,0.16517857142857142,0.044642857142857144
logistic_regression,5,"{'C': 1.0, 'class_weight': None, 'fit_weight': 'balanced'}","[('C', 1.0), ('class_weight', None), ('fit_weight', 'balanced')]",0.7415567225301738,0.14732142857142858,0.04017857142857143
logistic_regression,1,"{'C': 3.0, 'class_weight': None, 'fit_weight': 'balanced'}","[('C', 3.0), ('class_weight', None), ('fit_weight', 'balanced')]",0.6769136516504938,0.07555555555555556,0.017777777777777778
logistic_regression,2,"{'C': 3.0, 'class_weight': None, 'fit_weight': 'balanced'}","[('C', 3.0), ('class_weight', None), ('fit_weight', 'balanced')]",0.7339717978848415,0.1111111111111111,0.02666666666666667
logistic_regression,3,"{'C': 3.0, 'class_weight': None, 'fit_weight': 'balanced'}","[('C', 3.0), ('class_weight', None), ('fit_weight', 'balanced')]",0.6123919628758339,0.17777777777777778,0.04888888888888889
logistic_regression,4,"{'C': 3.0, 'class_weight': None, 'fit_weight': 'balanced'}","[('C', 3.0), ('class_weight', None), ('fit_weight', 'balanced')]",0.6341860465116278,0.15625,0.04017857142857143
logistic_regression,5,"{'C': 3.0, 'class_weight': None, 'fit_weight': 'balanced'}","[('C', 3.0), ('class_weight', None), ('fit_weight', 'balanced')]",0.7415567225301738,0.14732142857142858,0.04017857142857143
decision_tree,1,"{'max_depth': 8, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 1)]",0.6842391225394058,0.07111111111111111,0.017777777777777778
decision_tree,2,"{'max_depth': 8, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 1)]",0.6640121315705693,0.14666666666666667,0.04888888888888889
decision_tree,3,"{'max_depth': 8, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 1)]",0.5600371593724194,0.18666666666666668,0.057777777777777775
decision_tree,4,"{'max_depth': 8, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 1)]",0.7223482699943278,0.14285714285714285,0.044642857142857144
decision_tree,5,"{'max_depth': 8, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 1)]",0.7950554292394055,0.09821428571428571,0.03125
decision_tree,1,"{'max_depth': 8, 'min_samples_leaf': 1, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 1)]",0.6572707712677921,0.28,0.06222222222222222
decision_tree,2,"{'max_depth': 8, 'min_samples_leaf': 1, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 1)]",0.6516136979551613,0.3022222222222222,0.06666666666666667
decision_tree,3,"{'max_depth': 8, 'min_samples_leaf': 1, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 1)]",0.5821494817239498,0.39555555555555555,0.057777777777777775
decision_tree,4,"{'max_depth': 8, 'min_samples_leaf': 1, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 1)]",0.54796464297284,0.5,0.14732142857142858
decision_tree,5,"{'max_depth': 8, 'min_samples_leaf': 1, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 1)]",0.5597272322624435,0.875,0.20535714285714285
decision_tree,1,"{'max_depth': 8, 'min_samples_leaf': 3, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 3)]",0.6478596087456847,0.08444444444444445,0.022222222222222223
decision_tree,2,"{'max_depth': 8, 'min_samples_leaf': 3, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 3)]",0.6785735337459475,0.1288888888888889,0.044444444444444446
decision_tree,3,"{'max_depth': 8, 'min_samples_leaf': 3, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 3)]",0.5241316490846403,0.18666666666666668,0.06222222222222222
decision_tree,4,"{'max_depth': 8, 'min_samples_leaf': 3, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 3)]",0.645404208194906,0.14285714285714285,0.049107142857142856
decision_tree,5,"{'max_depth': 8, 'min_samples_leaf': 3, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 3)]",0.7515035443352817,0.10267857142857142,0.04017857142857143
decision_tree,1,"{'max_depth': 8, 'min_samples_leaf': 3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 3)]",0.5038491717523976,0.4088888888888889,0.09777777777777778
decision_tree,2,"{'max_depth': 8, 'min_samples_leaf': 3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 3)]",0.6035133264105227,0.4,0.09777777777777778
decision_tree,3,"{'max_depth': 8, 'min_samples_leaf': 3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 3)]",0.5279880373201913,0.44,0.07111111111111111
decision_tree,4,"{'max_depth': 8, 'min_samples_leaf': 3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 3)]",0.5598413612051225,0.5178571428571429,0.14285714285714285
decision_tree,5,"{'max_depth': 8, 'min_samples_leaf': 3, 'class_weight': 'balanced', 'fit_weight': 'none'}","[('class_weight', 'balanced'), ('fit_weight', 'none'), ('max_depth', 8), ('min_samples_leaf', 3)]",0.5353115404472704,0.9196428571428571,0.22767857142857142
decision_tree,1,"{'max_depth': 12, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 1)]",0.7674432234432234,0.07111111111111111,0.013333333333333334
decision_tree,2,"{'max_depth': 12, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 1)]",0.6910046475263867,0.17333333333333334,0.04888888888888889
decision_tree,3,"{'max_depth': 12, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 1)]",0.6063427611814708,0.17333333333333334,0.044444444444444446
decision_tree,4,"{'max_depth': 12, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 1)]",0.6577448350250297,0.16071428571428573,0.03571428571428571
decision_tree,5,"{'max_depth': 12, 'min_samples_leaf': 1, 'class_weight': None, 'fit_weight': 'none'}","[('class_weight', None), ('fit_weight', 'none'), ('max_depth', 12), ('min_samples_leaf', 1)]",0.8298615136508154,0.08482142857142858,0.022321428571428572
