confidence_bin,count,avg_confidence,top1_accuracy,top2_accuracy
"(-0.001, 0.5]",3,0.4401157610246352,0.6666666666666666,1.0
"(0.5, 0.6]",2,0.5024086763038347,0.5,0.5
"(0.7, 0.8]",2,0.7537323494638459,1.0,1.0
"(0.8, 0.9]",5,0.8427003421125114,1.0,1.0
"(0.9, 1.0]",187,0.9901422569436472,0.9893048128342246,1.0
