threshold,positive_support,accuracy,precision,recall,f1
>=7+,193,0.9798994974874372,0.9896373056994818,0.9896373056994818,0.9896373056994818
>=12+,190,0.9748743718592965,0.9842931937172775,0.9894736842105263,0.9868766404199475
>=16+,156,0.9849246231155779,0.9935483870967742,0.9871794871794872,0.9903536977491961
>=18+,152,0.9748743718592965,0.9867549668874173,0.9802631578947368,0.9834983498349835
