subset,feature_count,accuracy,macro_f1,balanced_accuracy,weighted_f1,mean_absolute_age_error,severe_error_rate
full,1010,0.9798994974874372,0.8723313168915775,0.8333333333333333,0.9778913179204539,0.04522613065326633,0.010050251256281407
no_strategy,1009,0.9798994974874372,0.8723313168915775,0.8333333333333333,0.9778913179204539,0.04522613065326633,0.010050251256281407
no_aggregate_scores,999,0.9798994974874372,0.8723313168915775,0.8333333333333333,0.9778913179204539,0.04522613065326633,0.010050251256281407
no_descriptor_interactive,1008,0.964824120603015,0.7871975019516003,0.7807017543859649,0.963070622433008,0.08542713567839195,0.020100502512562814
answer_only,994,0.9597989949748744,0.7740803202939686,0.8114035087719298,0.9581801759679343,0.10552763819095477,0.02512562814070352
counts_and_scores_only,15,0.6934673366834171,0.4170540171567129,0.4996130030959752,0.7397451835250586,0.6030150753768844,0.19095477386934673
