model,best_params,cv_macro_f1_mean,cv_macro_f1_std,cv_severe_error_mean,cv_severe_error_std,holdout_accuracy,holdout_macro_f1,holdout_balanced_accuracy,holdout_severe_error_rate
lightgbm,"{'learning_rate': 0.05, 'max_depth': 5, 'min_child_samples': 10, 'num_leaves': 15, 'subsample': 0.9}",0.7411724710191052,0.07620481885217203,0.02137301587301582,0.008626425559814868,0.9798994974874372,0.8723313168915775,0.8333333333333333,0.010050251256281407
xgboost,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.9}",0.7041324761173662,0.06562340770519229,0.031174603174603122,0.012278622958566219,0.9547738693467337,0.775814320562491,0.7780701754385965,0.02512562814070352
extra_trees,"{'class_weight': None, 'fit_weight': 'none', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1}",0.6973299849850836,0.03246893428558098,0.03026587301587298,0.00947267688976025,0.9547738693467337,0.7450184320471861,0.7156862745098038,0.02512562814070352
logistic_regression,"{'C': 3.0, 'class_weight': None, 'fit_weight': 'none'}",0.6977842102419325,0.050711007679909985,0.0302896825396825,0.012422876211391942,0.964824120603015,0.7448531796072779,0.7640350877192983,0.020100502512562814
decision_tree,"{'class_weight': None, 'fit_weight': 'none', 'max_depth': 12, 'min_samples_leaf': 3}",0.7155775481235199,0.06863583554806381,0.032043650793650735,0.01171608419540298,0.9246231155778895,0.7353026398949876,0.7077915376676986,0.035175879396984924
random_forest,"{'class_weight': 'balanced', 'fit_weight': 'none', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1}",0.6987506575163798,0.026008351024950502,0.03917063492063488,0.012388202496670518,0.949748743718593,0.7177331373509717,0.6823529411764706,0.03015075376884422
