,USK: Ages 18+,USK: Ages 12+,USK: All ages,USK: Ages 16+,USK: Ages 6+
USK: Ages 18+,133,0,0,1,0
USK: Ages 12+,1,41,1,0,0
USK: All ages,0,0,15,0,0
USK: Ages 16+,1,0,0,4,0
USK: Ages 6+,0,1,1,0,0
