,Rated for 19+,Rated for 18+,Rated for 12+,Rated for 3+,Rated for 16+,Rated for 7+
Rated for 19+,85,0,1,0,0,0
Rated for 18+,0,65,0,0,1,0
Rated for 12+,0,0,34,0,0,0
Rated for 3+,2,0,1,3,0,0
Rated for 16+,1,1,0,1,1,0
Rated for 7+,0,0,0,0,0,3
