,Adults only 18+,Mature 17+,Teen,Everyone,Everyone 10+
Adults only 18+,91,8,5,0,0
Mature 17+,1,50,0,0,0
Teen,1,5,17,2,0
Everyone,0,0,0,17,0
Everyone 10+,0,0,0,1,1
