,Refused Classification,Restricted,Parental Guidance 15,Parental Guidance 12,General Public
Refused Classification,60,3,1,0,0
Restricted,2,7,0,0,0
Parental Guidance 15,0,0,2,1,0
Parental Guidance 12,0,0,0,1,0
General Public,0,0,1,0,0
