,Rated for 18+,Rated for 12+,Rated for 3+,Rated for 16+,Rated for 7+
Rated for 18+,152,0,0,0,0
Rated for 12+,0,34,0,0,0
Rated for 3+,1,0,4,1,0
Rated for 16+,2,0,0,2,0
Rated for 7+,0,1,0,0,2
