,Refused Classification,Restricted to 15+,Restricted to 18+,Mature,General,Parental Guidance
Refused Classification,57,2,0,0,0,0
Restricted to 15+,0,9,0,1,0,0
Restricted to 18+,2,0,5,0,0,0
Mature,0,1,0,0,0,0
General,1,0,0,0,0,0
Parental Guidance,0,0,0,0,0,0
