,Rated 18+,All ages,Rated 14+,Rated 16+,Rated 12+,Rated 10+
Rated 18+,126,1,2,1,0,0
All ages,1,32,0,0,0,0
Rated 14+,0,2,12,6,0,0
Rated 16+,2,0,0,6,0,0
Rated 12+,1,0,0,0,6,0
Rated 10+,0,0,0,0,1,0
