,PEGI 18,Parental guidance,PEGI 3,PEGI 16,PEGI 12,PEGI 7
PEGI 18,152,0,0,0,0,0
Parental guidance,1,29,0,0,0,0
PEGI 3,0,2,3,0,1,0
PEGI 16,4,0,0,0,0,0
PEGI 12,0,0,0,0,4,0
PEGI 7,0,0,0,0,0,3
